zone_id,zone_name,lat_centroid,lon_centroid,area_km2,poi_score,it_park_count,mall_count,hotel_count,hospital_count,university_count,petrol_pump_count,footfall_composite,restaurant_count,ev_registrations,ev_growth_rate_yoy,charger_count_total,fast_charger_count,operators_present,slow_charger_count,planned_supply_6mo,price_psf_residential,price_psf_commercial,hcpi_estimated,new_projects_pipeline_count,new_projects_units_total,s_score,zone_archetype,S_eff,congestion_index,fast_desert_flag,CI_norm,supply_gap,supply_gap_norm,footfall_norm,s_score_norm,site_score,site_rank,deployment_priority,predicted_ci_t12,ev_density,ev_density_norm,spike_factor,cds_score,mobile_priority,mobile_product
11,Whitefield ITPL,13.010150602409638,77.70238554216867,41.5,300.0,0,0,17,79,42,76,1.97,219,5001,1.097,4,0,"BESCOM, Unknown, Sun Mobility",4,4,6350.0,8900.0,0.43,34.0,5740.0,1.0,commercial_transit,0.4776,839.849,1,0.18925180151844495,1000.2,0.11067599856215507,0.0017311608961303455,1.0,25.9,13,Tier-3 (Strategic),1412.929,120.51,0.01210708553263112,0.0,0.005,18,160 kW mobile
12,Hebbal,12.978,77.57625,0.5,117.5,2,1,42,1,2,0,23.88,32,1959,1.097,5,1,"Ather, Unknown, Honda e:swap",4,6,10000.0,13500.0,0.3,11.0,980.0,1.0,commercial_transit,0.6238,262.535,0,0.04542579363349299,326.5,0.025204575730023472,0.22484725050916496,1.0,21.0,17,Tier-3 (Strategic),241.137,3918.0,1.0,0.0,3.98,4,160 kW mobile
13,Outer Ring Road,12.968578125,77.65588541666666,24.0,480.5,96,0,23,48,22,30,4.4,283,8010,1.097,0,0,None,0,1,8150.0,11250.0,0.45,0.0,0.0,1.0,it_corridor,0.9527,738.074,1,0.16389663612752944,8010.0,1.0,0.0264765784114053,1.0,52.0,3,Tier-1 (Deploy Now),688.009,333.75,0.06758011774101658,0.0,0.297,12,120 kW mobile
14,Kengeri,12.94167050209205,77.53639225941423,59.75,642.5,7,0,9,222,94,125,2.75,440,10711,1.097,1,0,Unknown,1,5,5200.0,6500.0,0.35,10.0,1300.0,1.0,it_corridor,0.3428,2346.357,1,0.5645675421496148,5355.5,0.6632271160636881,0.009674134419551934,1.0,57.6,2,Tier-1 (Deploy Now),2153.331,179.26,0.027390525047931463,0.0,0.038,15,120 kW mobile
15,HSR Layout,12.9602109375,77.623171875,16.0,313.5,3,0,34,102,29,23,27.31,1171,5226,1.097,0,0,None,0,0,8150.0,11250.0,0.45,0.0,0.0,1.0,commercial_transit,0.8311,544.433,1,0.11565493058626423,5226.0,0.6467976233269195,0.25977596741344194,1.0,42.9,6,Tier-2 (6-12 months),573.231,326.62,0.06572529350707461,0.0,1.795,8,160 kW mobile
16,JP Nagar,12.9639375,77.6223125,2.0,67.5,1,4,13,12,2,3,93.85,503,1125,1.097,0,0,None,0,0,8150.0,11250.0,0.45,0.0,0.0,1.0,premium_commercial,0.8324,117.037,1,0.009177934591022615,1125.0,0.12650920855094833,0.9373727087576375,1.0,33.2,10,Tier-2 (6-12 months),119.032,562.5,0.12708797798144134,0.0,11.927,2,160 kW mobile
17,Yelahanka,13.06719642857143,77.61168080357143,56.0,394.5,1,0,17,93,91,73,2.95,443,6576,1.097,2,0,Unknown,2,11,6500.0,8700.0,0.5,120.0,21500.0,1.0,commercial_transit,0.0558,4094.172,1,1.0,2192.0,0.2618780792083395,0.011710794297352342,1.0,63.0,1,Tier-1 (Deploy Now),2272.282,117.43,0.011305843086552395,0.0,0.011,16,160 kW mobile
18,Electronic City,12.953395161290322,77.64242741935485,7.75,310.0,66,3,22,12,14,12,11.22,233,5168,1.097,0,0,None,0,1,8150.0,11250.0,0.45,0.0,0.0,1.0,it_corridor,0.8615,521.369,1,0.10990900541234064,5168.0,0.6394392404795636,0.09592668024439918,1.0,40.0,7,Tier-2 (6-12 months),561.049,666.84,0.15423136656061476,0.0,1.73,9,120 kW mobile
19,Hoskote,12.94965,77.63345,1.25,46.0,5,0,5,0,11,2,7.16,24,767,1.097,5,0,"Unknown, ChargePoint",5,2,12500.0,18000.0,0.48,8.0,950.0,1.0,it_corridor,0.8277,80.197,1,0.0,127.83333333333333,0.0,0.054582484725050916,1.0,15.8,20,Tier-3 (Strategic),112.521,613.6,0.1403813185641111,0.0,0.168,14,120 kW mobile
20,Devanahalli,12.97125,77.60925,0.25,44.5,1,6,10,0,3,0,100.0,67,742,1.097,1,0,Honda e:swap,1,0,14000.0,22000.0,0.42,3.0,280.0,1.0,premium_commercial,0.6976,90.238,1,0.0025015103482209024,371.0,0.030850231535322355,1.0,1.0,31.0,11,Tier-3 (Strategic),104.721,2968.0,0.7528635312419518,0.0,37.643,1,160 kW mobile
